Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,SGPA in BS Second semester,Gender,I opted for this program of study because of my own interest.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",My preferable time of study is:,Mother's Education,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,Intermediate percentage,"Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Lowest Mobile Usage,residence place,Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,I prefer to revise the lectures daily or before the next class of the same subject.,It is difficult to convey complex concepts in online mode and hence quality of education suffers.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,lecture mode,Father's Education,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,Matric percentage,Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",My preferable mode of study is:,SGPA in BS First semester,Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.", lecture language,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ",I often come across health issues that effect my academic performance.,TVFs are not aware of the university's curriculum and other requirements.,TVFs often reschedule classes that negatively impacts my performance., scholarship,SGPA in BS Third semester,lecture material,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ","I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.",I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,number of students,guidance,sitting place,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,Intermediate ,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,A proper classroom environment and discipline is not possible to maintain in online environment.,attendance,lecture duration,SGPA in BS Fourth semester,I am easily distracted by social media and other sources of interruptions during online lectures., family members,Maximum Mobile Usage,"It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,Lack of technical resources create disruptions during lectures and make it difficult to understand. ,Basic Education,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,SGPA in BS Fifth semester,CGPA in BS Fifth semester
3,0,2.43,1,2,0,0,1,2,0,80.64,2,1,1,1,0,3,2,2,0,0,1,3,61.43,0,0,3,1,1.23,0,0,2,0,2,1,3,0,2.51,2,2,2,0,0,0,2,2,1,0,1,0,2,0,2.74,3,5,2,0,1,3,2,2,1,1,0,2.35,2.64
0,0,1.26,0,0,0,1,1,3,0,79.82,2,3,0,0,1,1,2,3,1,1,2,3,74.95,0,0,3,0,2.9,3,0,2,0,0,2,4,0,2.58,0,0,0,1,0,0,1,0,1,0,0,4,2,0,1.46,1,5,4,3,2,0,2,1,1,3,1,2.13,2.17
3,3,2.0,1,2,3,3,0,3,0,75.73,3,1,0,3,1,0,3,1,0,3,3,2,90.64,0,0,4,0,2.21,3,0,2,3,2,3,3,0,2.47,0,3,3,3,0,0,3,2,1,3,1,4,4,0,2.58,2,7,2,3,3,3,3,2,1,0,3,2.63,2.32
2,2,2.63,1,0,2,3,0,5,2,76.45,4,2,1,1,0,0,2,3,2,3,3,3,86.95,3,2,0,0,3.06,4,1,2,3,0,2,0,1,2.63,2,2,2,1,3,1,1,0,1,1,1,2,4,0,1.98,4,5,3,0,4,0,2,2,1,2,4,1.87,2.43
1,0,2.39,1,3,3,2,1,4,1,77.0,3,1,1,3,0,2,0,2,2,0,2,3,79.64,4,4,0,1,2.38,2,2,2,4,2,1,2,0,3.12,2,1,1,3,3,0,3,2,1,3,3,1,2,0,3.17,4,6,2,2,3,3,3,1,1,1,4,3.35,2.9
2,0,2.28,1,0,0,0,1,2,2,66.36,0,1,1,2,2,0,0,2,0,2,2,0,79.27,0,2,0,1,2.87,0,0,2,0,0,0,0,1,2.81,2,0,0,2,0,1,2,0,1,2,0,0,3,0,3.04,0,6,2,0,0,0,0,0,1,0,2,2.74,2.75
3,0,3.22,0,2,3,1,0,0,3,79.55,2,1,0,1,2,3,1,3,2,2,2,0,91.36,2,2,2,1,3.31,0,0,2,1,2,2,2,0,3.3,2,2,2,2,3,0,2,1,1,0,1,3,3,0,3.2,2,5,2,2,1,2,1,2,1,2,0,3.26,3.26
2,4,2.84,1,2,3,4,0,3,4,67.82,3,0,0,3,0,3,2,2,2,4,4,3,81.82,4,4,3,0,3.23,3,4,2,4,3,4,4,0,2.35,0,4,2,2,3,0,1,4,1,3,3,2,3,2,2.05,4,5,1,3,4,4,4,2,1,4,3,2.28,2.54
3,3,3.24,1,0,3,0,1,3,3,75.36,3,1,0,0,2,0,1,2,2,3,2,0,90.64,3,0,1,0,3.56,0,0,2,2,1,0,3,1,3.28,0,2,3,3,0,0,1,3,1,3,3,2,0,0,3.13,1,4,2,3,1,0,2,0,1,2,2,2.69,3.17
0,2,2.21,1,3,3,0,1,2,2,73.27,1,1,0,0,2,0,4,2,0,0,3,0,85.71,2,0,0,0,3.25,2,0,2,2,2,1,3,1,2.8,1,1,0,0,3,0,1,4,1,3,2,0,3,2,3.15,2,5,2,2,1,1,1,0,1,1,2,2.91,2.86
